= github =======================================================================
The folding marks are measured from the bottom of the page.
The blank pages are meant to be folded all the way, from top to bottom.
The measures are given in cm.
===============================================================================

===============================================================================
Page	Lower	upper
===============================================================================
131 	9.6  	10.1 
133 	8.8  	10.9 
135 	8.3  	11.4 
137 	8.0  	11.7 
139 	7.7  	12.0 
141 	7.5  	12.2 
143 	7.3  	12.4 
145 	7.1  	12.6 
147 	6.9  	12.8 
149 	6.7  	13.0 
151 	6.6  	13.1 
153 	6.4  	13.3 
155 	6.3  	13.4 
157 	6.1  	13.5 
159 	6.0  	13.7 
161 	5.9  	13.8 
163 	5.8  	13.9 
165 	5.7  	14.0 
167 	5.6  	14.1 
169 	5.5  	14.2 
171 	7.2  	14.3 
173 	5.4  	7.1  
175 	7.3  	14.5 
177 	5.2  	6.9  
179 	7.3  	14.6 
181 	5.0  	6.8  
183 	7.3  	14.8 
185 	4.9  	6.6  
187 	10.4 	14.9 
189 	7.2  	9.8  
191 	4.8  	6.5  
193 	11.4 	15.1 
195 	7.1  	8.6  
197 	4.6  	6.1  
199 	11.8 	15.3 
201 	6.8  	8.1  
203 	4.4  	5.6  
205 	13.0 	15.3 
207 	11.8 	12.5 
209 	6.8  	8.1  
211 	4.4  	5.6  
213 	13.2 	15.3 
215 	6.7  	8.0  
217 	4.3  	5.5  
219 	13.7 	15.5 
221 	6.3  	7.7  
223 	4.2  	5.3  
225 	13.7 	15.7 
227 	6.1  	7.5  
229 	4.0  	5.2  
231 	13.6 	15.8 
233 	6.0  	7.4  
235 	3.9  	5.1  
237 	13.5 	15.9 
239 	5.9  	7.2  
241 	3.8  	5.1  
243 	13.4 	16.0 
245 	5.9  	7.1  
247 	3.7  	5.1  
249 	13.3 	16.1 
251 	5.9  	7.1  
253 	3.6  	5.1  
255 	13.1 	16.2 
257 	6.0  	7.0  
259 	3.7  	5.1  
261 	13.0 	16.2 
263 	6.1  	7.0  
265 	13.1 	16.2 
267 	6.6  	6.9  
269 	13.1 	16.2 
271 	13.1 	16.3 
273 	13.1 	16.3 
275 	13.1 	16.3 
277 	13.2 	16.3 
279 	13.2 	16.3 
281 	13.2 	16.3 
283 	13.2 	16.4 
285 	13.2 	16.4 
287 	13.2 	16.4 
289 	13.2 	16.4 
291 	13.2 	16.4 
293 	13.2 	16.4 
295 	13.2 	16.4 
297 	13.2 	16.4 
299 	13.2 	16.4 
301 	13.2 	16.4 
303 	13.2 	16.4 
305 	13.2 	16.4 
307 	13.2 	16.4 
309 	13.2 	16.4 
311 	13.2 	16.4 
313 	13.2 	16.4 
315 	13.2 	16.4 
317 	13.2 	16.4 
319 	13.2 	16.4 
321 	13.2 	16.4 
323 	13.2 	16.3 
325 	13.2 	16.3 
327 	13.1 	16.3 
329 	13.1 	16.3 
331 	13.1 	16.3 
333 	13.1 	16.3 
335 	13.1 	16.2 
337 	6.6  	6.9  
339 	13.0 	16.2 
341 	6.0  	7.0  
343 	13.1 	16.2 
345 	3.6  	7.0  
347 	13.2 	16.1 
349 	3.6  	7.1  
351 	13.3 	16.0 
353 	3.6  	7.1  
355 	13.4 	16.0 
357 	3.7  	7.2  
359 	13.5 	15.9 
361 	3.8  	7.2  
363 	13.6 	15.8 
365 	3.8  	7.3  
367 	13.6 	15.7 
369 	3.9  	7.4  
371 	13.7 	15.7 
373 	4.0  	7.5  
375 	13.7 	15.6 
377 	4.1  	7.6  
379 	13.7 	15.5 
381 	4.2  	7.8  
383 	13.4 	15.4 
385 	4.3  	8.0  
387 	13.2 	15.3 
389 	11.9 	12.2 
391 	4.3  	8.1  
393 	11.8 	15.3 
395 	4.4  	8.1  
397 	11.5 	15.2 
399 	4.5  	8.4  
401 	11.2 	15.0 
403 	4.7  	8.9  
405 	4.8  	14.9 
407 	4.9  	14.8 
409 	4.9  	14.7 
411 	5.0  	14.7 
413 	5.1  	14.6 
415 	5.2  	14.5 
417 	5.3  	14.4 
419 	5.4  	14.3 
421 	5.5  	14.2 
423 	5.6  	14.1 
425 	5.7  	14.0 
427 	5.8  	13.9 
429 	5.9  	13.8 
431 	6.0  	13.6 
433 	6.2  	13.5 
435 	6.3  	13.4 
437 	6.4  	13.2 
439 	6.6  	13.1 
441 	6.7  	12.9 
443 	6.9  	12.8 
445 	7.1  	12.6 
447 	7.3  	12.4 
449 	7.5  	12.2 
451 	7.7  	11.9 
453 	8.0  	11.7 
455 	8.4  	11.3 
457 	8.8  	10.8 

===============================================================================
Generated by the OverWorked Moodule.
Licensed under GPL v3.
Enjoy your time folding !
